id,organization_id,name,type,source,environment,owner,confidence,risk_level,is_internet_facing,has_sensitive_data,tags,metadata_json,created_at,updated_at
user-sarah-cto,org-acme-01,Sarah Chen (CTO),User,google_workspace,production,,1.0,LOW,0,0,[],"{""email"": ""sarah.tech@acmeretail.example"", ""is_admin"": true, ""mfa_enabled"": true}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
user-contractor-admin,org-acme-01,Dev Ops Admin (Contractor),User,google_workspace,production,,1.0,CRITICAL,0,0,[],"{""email"": ""dev.admin@acmeretail.example"", ""is_admin"": true, ""mfa_enabled"": false, ""is_dormant"": true, ""days_inactive"": 142}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
user-emma-marketing,org-acme-01,Emma Watson (Marketing Lead),User,google_workspace,production,,1.0,MEDIUM,0,0,[],"{""email"": ""emma.marketing@acmeretail.example"", ""is_admin"": false, ""mfa_enabled"": false, ""days_inactive"": 5}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
iam-admin-role,org-acme-01,AWS AdministratorAccess,IAMRole,aws,production,,1.0,HIGH,0,0,[],"{""policies"": [""AdministratorAccess""]}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
cloud-aws-prod,org-acme-01,AWS Production Account (123456789012),CloudAccount,aws,production,,1.0,LOW,0,0,[],"{""region"": ""us-east-1""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
saas-slack,org-acme-01,Slack Enterprise Grid,SaaSApplication,discovery,production,,1.0,LOW,0,0,[],"{""channels"": 18, ""integrations"": [""GitHub"", ""Stripe Alert""]}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
saas-github,org-acme-01,GitHub Organization,SaaSApplication,discovery,production,,1.0,LOW,0,0,[],"{""repositories"": 6}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
saas-analytics-bot,org-acme-01,Legacy Marketing Analytics Bot,SaaSApplication,google_workspace,production,,1.0,HIGH,0,0,[],"{""inactive_days"": 95, ""oauth_scopes"": [""https://www.googleapis.com/auth/admin.directory.user.readonly"", ""drive.file.write""]}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
dns-acme-domain,org-acme-01,acmeretail.example,Domain,cloudflare,production,,1.0,LOW,1,0,[],"{""nameservers"": [""ns1.cloudflare.com"", ""ns2.cloudflare.com""]}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
dns-dmarc-record,org-acme-01,_dmarc.acmeretail.example,DNSRecord,cloudflare,production,,1.0,MEDIUM,0,0,[],"{""record_type"": ""TXT"", ""policy"": ""none"", ""raw"": ""v=DMARC1; p=none;""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
dep-lodash-4.17.20,org-acme-01,lodash@4.17.20,Dependency,sbom,production,,1.0,HIGH,0,0,"[""npm"", ""license:MIT""]","{""purl"": ""pkg:npm/lodash@4.17.20"", ""license"": ""MIT"", ""has_vulnerabilities"": true, ""vulnerabilities"": [{""cve"": ""CVE-2021-23337"", ""cvss"": 7.5, ""severity"": ""HIGH"", ""cwe"": ""CWE-78"", ""affected_versions"": ""<4.17.21"", ""summary"": ""Prototype pollution in lodash leads to remote code execution or denial of service."", ""fixed_in"": ""4.17.21""}]}",2026-09-11 11:03:54.170508,2026-09-11 11:03:54.170508
vuln-CVE-2021-23337,org-acme-01,CVE-2021-23337,Vulnerability,cve_intel,production,,0.98,HIGH,0,0,"[""CWE-78"", ""cvss:7.5""]","{""cve"": ""CVE-2021-23337"", ""cvss"": 7.5, ""severity"": ""HIGH"", ""cwe"": ""CWE-78"", ""affected_versions"": ""<4.17.21"", ""summary"": ""Prototype pollution in lodash leads to remote code execution or denial of service."", ""fixed_in"": ""4.17.21""}",2026-09-11 11:03:54.175502,2026-09-11 11:03:54.175502
dep-jsonwebtoken-8.5.1,org-acme-01,jsonwebtoken@8.5.1,Dependency,sbom,production,,1.0,CRITICAL,0,0,"[""npm"", ""license:MIT""]","{""purl"": ""pkg:npm/jsonwebtoken@8.5.1"", ""license"": ""MIT"", ""has_vulnerabilities"": true, ""vulnerabilities"": [{""cve"": ""CVE-2022-23529"", ""cvss"": 9.8, ""severity"": ""CRITICAL"", ""cwe"": ""CWE-94"", ""affected_versions"": ""<=8.5.1"", ""summary"": ""Arbitrary code execution through untrusted key objects in jsonwebtoken verify function."", ""fixed_in"": ""9.0.0""}]}",2026-09-11 11:03:54.175502,2026-09-11 11:03:54.175502
vuln-CVE-2022-23529,org-acme-01,CVE-2022-23529,Vulnerability,cve_intel,production,,0.98,CRITICAL,0,0,"[""CWE-94"", ""cvss:9.8""]","{""cve"": ""CVE-2022-23529"", ""cvss"": 9.8, ""severity"": ""CRITICAL"", ""cwe"": ""CWE-94"", ""affected_versions"": ""<=8.5.1"", ""summary"": ""Arbitrary code execution through untrusted key objects in jsonwebtoken verify function."", ""fixed_in"": ""9.0.0""}",2026-09-11 11:03:54.175502,2026-09-11 11:03:54.175502
dep-express-4.18.2,org-acme-01,express@4.18.2,Dependency,sbom,production,,1.0,HIGH,0,0,"[""npm"", ""license:MIT""]","{""purl"": ""pkg:npm/express@4.18.2"", ""license"": ""MIT"", ""has_vulnerabilities"": true, ""vulnerabilities"": [{""cve"": ""CVE-2024-43796"", ""cvss"": 5.3, ""severity"": ""MEDIUM"", ""cwe"": ""CWE-79"", ""affected_versions"": ""<4.20.0"", ""summary"": ""Open redirect and cross-site scripting via malformed path handling."", ""fixed_in"": ""4.21.0""}]}",2026-09-11 11:03:54.182426,2026-09-11 11:03:54.182426
vuln-CVE-2024-43796,org-acme-01,CVE-2024-43796,Vulnerability,cve_intel,production,,0.98,MEDIUM,0,0,"[""CWE-79"", ""cvss:5.3""]","{""cve"": ""CVE-2024-43796"", ""cvss"": 5.3, ""severity"": ""MEDIUM"", ""cwe"": ""CWE-79"", ""affected_versions"": ""<4.20.0"", ""summary"": ""Open redirect and cross-site scripting via malformed path handling."", ""fixed_in"": ""4.21.0""}",2026-09-11 11:03:54.184549,2026-09-11 11:03:54.184549
dep-axios-1.5.0,org-acme-01,axios@1.5.0,Dependency,sbom,production,,1.0,HIGH,0,0,"[""npm"", ""license:MIT""]","{""purl"": ""pkg:npm/axios@1.5.0"", ""license"": ""MIT"", ""has_vulnerabilities"": true, ""vulnerabilities"": [{""cve"": ""CVE-2023-45857"", ""cvss"": 6.5, ""severity"": ""MEDIUM"", ""cwe"": ""CWE-444"", ""affected_versions"": ""<1.6.0"", ""summary"": ""Cross-Site Request Forgery (CSRF) vulnerability via absolute URLs."", ""fixed_in"": ""1.6.0""}]}",2026-09-11 11:03:54.184549,2026-09-11 11:03:54.184549
vuln-CVE-2023-45857,org-acme-01,CVE-2023-45857,Vulnerability,cve_intel,production,,0.98,MEDIUM,0,0,"[""CWE-444"", ""cvss:6.5""]","{""cve"": ""CVE-2023-45857"", ""cvss"": 6.5, ""severity"": ""MEDIUM"", ""cwe"": ""CWE-444"", ""affected_versions"": ""<1.6.0"", ""summary"": ""Cross-Site Request Forgery (CSRF) vulnerability via absolute URLs."", ""fixed_in"": ""1.6.0""}",2026-09-11 11:03:54.184549,2026-09-11 11:03:54.184549
